release_id,album_title,track_title,track_position,duration,year,country,genre,style,artist,source,lyrics
3073799,Trinitron,Goodbye,10,1:59,2008,Peru,Rock,"Post-Punk, Post Rock, Experimental, Punk",Plug Plug,discogs,"1 ContributorGoodbye LyricsI want to say goodbye
I want to say goodbye to you 'cause I really want to be
A different person, I guess
I want to say hello
I want to say hello to my new life, I want to live
Oh sí

Solo sé que nunca te fui infiel
Solo sé que nunca te fui infiel

And I hate myself
And I hate myself
And I hate myself
¡Por ser tan egoísta!

I want to say goodbye
I want to say goodbye to you 'cause I really want to be
A different person, I guess
I want to say hello
I want to say hello to my new life, I want to live
Oh sí

Solo sé quе nunca te fui infiel
Solo sé que nunca tе fui infiel

And I hate myself
And I hate myself
And I hate myself
¡Por ser tan egoísta!"
3073799,Trinitron,Summer Boy,11,2:25,2008,Peru,Rock,"Post-Punk, Post Rock, Experimental, Punk",Plug Plug,discogs,"1 ContributorSummer Boy LyricsI hate summer
I hate summer
I hate summer
I hate you!

I don't want to be, I don't want to be
I don't want to be your summer boy!
I don't want to be, I don't want to be
I don't want to be your summer boy!
I don't want to be, I don't want to be
I don't want to be your summer boy!
I don't want to be, I don't want to be
I don't want to be your summer...

I hate summer
I hate summer
I hate summer
I hate you!

I don't want to be, I don't want to be
I don't want to be your summer boy!
I don't want to be, I don't want to be
I don't want to be your summer boy!
I don't want to be, I don't want to be
I don't want to be your summer boy!
I don't want to bе, I don't want to be
I don't want to be your summer...
Boy"
3073799,Trinitron,All My Love,12,1:52,2008,Peru,Rock,"Post-Punk, Post Rock, Experimental, Punk",Plug Plug,discogs,
6563664,Beautiful Things,Piece of Clouds ,1,,2008,Japan,Electronic,"Tech House, Deep House, Downtempo",Nakamura Takahiro,discogs,
6563664,Beautiful Things,Beautiful Things ,2,,2008,Japan,Electronic,"Tech House, Deep House, Downtempo",Nakamura Takahiro,discogs,
6563664,Beautiful Things,New Reality ,3,,2008,Japan,Electronic,"Tech House, Deep House, Downtempo",Nakamura Takahiro,discogs,
6563664,Beautiful Things,Reflexion,4,,2008,Japan,Electronic,"Tech House, Deep House, Downtempo",Nakamura Takahiro,discogs,
6563664,Beautiful Things,Chord Memory ,5,,2008,Japan,Electronic,"Tech House, Deep House, Downtempo",Nakamura Takahiro,discogs,
6563664,Beautiful Things,Secret of Twilight ,6,,2008,Japan,Electronic,"Tech House, Deep House, Downtempo",Nakamura Takahiro,discogs,
6563664,Beautiful Things,Daydream Tripper,7,,2008,Japan,Electronic,"Tech House, Deep House, Downtempo",Nakamura Takahiro,discogs,
7976665,S★K★A Republik Concert ,Intro,CD1-1,,2008,Spain,Reggae,Ska,Skalariak,discogs,
7976665,S★K★A Republik Concert ,Sarrera VI / Ska Repúblik,CD1-2,,2008,Spain,Reggae,Ska,Skalariak,discogs,"1 ContributorSarrera VI / Ska-Republik Lyrics[Letra de ""Sarrera VI / Ska-Republik""]

Ska-republik concert!

¡Oh, no! Ska-republik
¡Oh, no! Ya llegó
¡Oh, no! Ska-republik
¡Rebelde!

¡Llegó! Ska-republik
El fuego se extendió
¡Ya nació! Ska-republik
¡Rompe!

Rebel in the clock!
Rebel in the street too!
Ghetto rebels!

[?]
It′s time for the Ska-republik!
[?]

¡Ska-republik!
Ska-republik ya nació
¡Llegó! Ska-republik
¡Llegó rebelde!


[?]
La nostra risposta

¡Ska-republik!
¡Ska-republik!
¡Ska-republik!

¡Ska-republik!
¡Ska-republik!
¡Ska-republik!"
7976665,S★K★A Republik Concert ,Global Musik,CD1-3,,2008,Spain,Reggae,Ska,Skalariak,discogs,"2 ContributorsGlobal Musik LyricsCalipso global
Skin-reggae mas que tropical
Anti-political rock

Hardcore de Taiwan white-soul made in Senegal
Ska-punk oriental ¡oh no!

Hip-hop en Beirut
Raggamufin en Singapur
Musica vasca en Nueva York

Global musik revolution
Rebel musik
¡¡revolucion!!

Global musik revolution
Rebel musik
Nueva generacion

Rude boys en Bagdad
Rock girls en un Kebab
Oi!-punk esquimal ¡oh no!

Psychobilly en Latinoamérica
Rancheras en catalá
Por todo el mundo


Global musik revolution
Rebel musik
¡¡revolucion!!

Rebel musik
A la música
Global musik
Nova generació

Global musik
Per il mondo
Rebel musik
Rivoluzione

Global musik
Herriz herri
Global musik
Iraultza berria

Global musik revolution!!
Rebel musik
Revolucion!!"
