release_id,album_title,track_title,track_position,duration,year,country,genre,style,artist,source,lyrics
2343471,Bipolar Generation,Gutter Flower,1,,2009,US,"Electronic, Rock","Goth Rock, Darkwave",Evil Flying Chickens,discogs,
2343471,Bipolar Generation,Kissed A Goddess,2,,2009,US,"Electronic, Rock","Goth Rock, Darkwave",Evil Flying Chickens,discogs,
2343471,Bipolar Generation,Madness,3,,2009,US,"Electronic, Rock","Goth Rock, Darkwave",Evil Flying Chickens,discogs,
2343471,Bipolar Generation,Thirteen Years,4,,2009,US,"Electronic, Rock","Goth Rock, Darkwave",Evil Flying Chickens,discogs,
2343471,Bipolar Generation,Bela Lugosi's Dead,5,,2009,US,"Electronic, Rock","Goth Rock, Darkwave",Evil Flying Chickens,discogs,
2343471,Bipolar Generation,No Hope Left,6,,2009,US,"Electronic, Rock","Goth Rock, Darkwave",Evil Flying Chickens,discogs,
2343471,Bipolar Generation,The Mess We Made,7,,2009,US,"Electronic, Rock","Goth Rock, Darkwave",Evil Flying Chickens,discogs,
2343471,Bipolar Generation,New Dawn Fades,8,,2009,US,"Electronic, Rock","Goth Rock, Darkwave",Evil Flying Chickens,discogs,
2343471,Bipolar Generation,Feeling Fine,9,,2009,US,"Electronic, Rock","Goth Rock, Darkwave",Evil Flying Chickens,discogs,
2343471,Bipolar Generation,Bipolar Generation,10,,2009,US,"Electronic, Rock","Goth Rock, Darkwave",Evil Flying Chickens,discogs,
3606550,I'm Back,Montgomery's Song,1,,2009,US,Rock,"Folk Rock, Punk, Psychedelic Rock, Avantgarde",Meri St. Mary,discogs,
3606550,I'm Back,Oblivion,2,,2009,US,Rock,"Folk Rock, Punk, Psychedelic Rock, Avantgarde",Meri St. Mary,discogs,
3606550,I'm Back,Tropical Fish,3,,2009,US,Rock,"Folk Rock, Punk, Psychedelic Rock, Avantgarde",Meri St. Mary,discogs,
3606550,I'm Back,Ashes,4,,2009,US,Rock,"Folk Rock, Punk, Psychedelic Rock, Avantgarde",Meri St. Mary,discogs,
2066629,The Turn,The Turn (A Pagan Lament),CD-1,5:25,2009,France,"Rock, Pop",Art Rock,Fredo Viola,discogs,"1 ContributorThe Turn (A Pagan Lament) LyricsI took a turn into the world of pop
Everything I'd learned I abruptly dropped
I'd seen the woods and its shining arches
And wandered down the road to the open sea

The coldness unfolds over stats and charts
As my love is sold to consuming hearts
And while I prepare words with little meaning
They classify my work for the Western world

Ice in the woods, now my spring is over
My path to the sea is now a dusty street

The lights in the night hide the blues and greens
My mind like a knife cuts the softened things
Oh, where are my eyes? Hiding in the forest
And where is my voice? In the MP3

I'm cold as the stone, you know I can't be glad
And my love is sold, and my soul is sapped
Oh come to the shore where the walkway's broken
Pay tears to the sea, she will be your queen

Oh I took a turn, oh I took a turn, oh I..."
2066629,The Turn,The Sad Song,CD-2,3:50,2009,France,"Rock, Pop",Art Rock,Fredo Viola,discogs,"1 ContributorThe Sad Song LyricsBaby Harry, Baby Harry, Baby Harry
Be good, be good
And go gently, and follow the Lord
He's fallen over..."
2066629,The Turn,Friendship Is...,CD-3,2:38,2009,France,"Rock, Pop",Art Rock,Fredo Viola,discogs,
2066629,The Turn,Red States,CD-4,4:17,2009,France,"Rock, Pop",Art Rock,Fredo Viola,discogs,"1 ContributorRed States LyricsLet's just today say love lives on
Say that the blacks and blues have faded
Are all gone
I am prepared to bandage over all our lies
But you can't expect a miracle to happen over night

Let's just today say love is war
With each new casualty you
Even out the score
I am the man who held you high when you fell down
Please understand it's hard to take
Another brutal round

And what's to gain for loving her?
Sweet moments saved amongst
The photographs we've stored
And what's to gain for loving her?
He wakes up falling for he's lost his equilibrium
But finds your arms and that's what love is worth

Let's just today say love is all
Say I remember well when we were still in love
You were the one who grew so tired of everything
But somehow I'm supposed to take
The lion's share of blame


And what's to gain for loving her?
Sweet moments saved amongst
The photographs we've stored
And what's to gain for loving her?
Red states and blue states at war for
Independence but within eachother's arms

Their love is growing strong, growing tall
Growing high, high, high"
2066629,The Turn,The Original Man,CD-5,2:48,2009,France,"Rock, Pop",Art Rock,Fredo Viola,discogs,
2066629,The Turn,Risa,CD-6,2:39,2009,France,"Rock, Pop",Art Rock,Fredo Viola,discogs,"1 ContributorRisa LyricsRisa believes
When the world is right
She'll open up her window
And climb into the night

Far along the midnight road
Jungle gyms and silver trees
Risa saw her brother
Sleeping on the sea

Hop above the mountain tops
Teething on the golden beats
Of your childish style
And boundless energy

Risa, love me
Risa, love freely
In the safe blue light
I will follow you"
2066629,The Turn,Robinson Crusoe,CD-7,4:34,2009,France,"Rock, Pop",Art Rock,Fredo Viola,discogs,
2066629,The Turn,K Thru 6,CD-8,3:31,2009,France,"Rock, Pop",Art Rock,Fredo Viola,discogs,
