title,artist,mbid,playcount,listeners,tags,lyrics_snippet,genre,mood,danceability,voice_instrumental,voice_instrumentals
alright,kendrick lamar,4d99a8ca-e57f-4103-9d5f-cfcb8e449bfa,24739304,1566669,"['MySpotigramBot', 'Conscious Hip Hop', 'jazz rap', 'Hip-Hop', '2015']"," trips like, ""Yah""
Nazareth
I'm fucked up, homie, you fucked up
But if God got us, then we gon' be alright
Nigga, we gon' be alright
Nigga, we gon' be alright
We gon' be alright
Do you hear me, do you feel me? We gon' be alright
Nigga, we gon' be alright
Huh? We gon' be alright
Nigga, we gon' be alright
Do you hear me, do you feel me? We gon' be alright
Uh, and when I wake up
I recognize you're lo",electronic,not_acoustic,danceable,,
learn to fly,foo fighters,44bd54a5-2626-44ed-a465-f9877acc3006,10944954,1520879,"['rock', 'alternative rock', 'foo fighters', 'alternative', 'Grunge']","t around laughin' and watched the last one die

Now I'm lookin' to the sky to save me, lookin' for a sign of life
Lookin' for something to help me burn out bright
I'm lookin' for a complication, lookin' 'cause I'm tired of lyin'
Make my way back home when I learn to fly high

I think I'm done nursin' the patience, it can wait one night
I'd give it all away if you give me one last try
We'll live ha",,,,,
taken for a fool,the strokes,01daaca3-ca10-4594-bfe3-8d9ce690c7a2,3841399,477313,"['indie rock', 'rock', 'alternative rock', 'indie', 'Garage Rock']","onderful that I could not be
Everybody hanging on for their lives
But you can't help them cause you don't have the time

I know everyone goes any damn place they like
I hope this goes over well on the toxic radio, yeah

You get taken all the time for a fool
I don't know why
You're so gullible but I don't mind
Oh, that's not the problem
And I don't need anyone with me right now
Monday, Tuesday is m",,,,,
the zephyr song,red hot chili peppers,8c117c4d-69da-4fc3-a0c0-ce8182d09dbc,7752667,1061049,"['rock', 'alternative rock', 'alternative', 'Red Hot Chili Peppers', 'funk']","on?

Take a look it's on display for you
Comin' down, no, not today

Did you meet your fortune teller?
Get it off with no propeller
Do it up, it's on with Stella
What a way to finally smell her

Pickin' up, but not too strong for you
Take a piece and pass it on

Fly away on my zephyr
I feel it more than ever
And in this perfect weather
We'll find a place together
Fly on my wind

Rebel and a libera",,,,,
espresso,sabrina carpenter,f215eed8-aa8d-48ba-bb09-2c02397381eb,41927788,1708716,"['pop', 'dance-pop', 'boogie', 'nu-disco', 'Disco']","tner can’t sleep when he’s with her. The funky pop… Read More 
Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know
That's that me espresso
Move it up, down, left, right, oh
Switch it up like Nintendo
Say you can't sleep, baby, I know
That's that me espresso

I can't relate to desperation
My give-a-fucks are on vacation
And I got this one boy an",,,,,
